model,lag_hours,residual_autocorrelation
NAQFC_pred,1,0.9657952432362746
NAQFC_pred,2,0.9069355035012928
NAQFC_pred,3,0.8418575811454595
NAQFC_pred,4,0.780676324446581
NAQFC_pred,5,0.7267633829139263
NAQFC_pred,6,0.6786744166138653
NAQFC_pred,7,0.6373761970379801
NAQFC_pred,8,0.5999833286575075
NAQFC_pred,9,0.5683455036619017
NAQFC_pred,10,0.5417963444060698
NAQFC_pred,11,0.519793329510924
NAQFC_pred,12,0.5025674087511719
NAQFC_pred,13,0.48924102369293265
NAQFC_pred,14,0.48064540533249067
NAQFC_pred,15,0.4757102089569896
NAQFC_pred,16,0.4734763253084154
NAQFC_pred,17,0.4739893295668233
NAQFC_pred,18,0.47677443907820993
NAQFC_pred,19,0.4821412761855237
NAQFC_pred,20,0.4900128558901779
NAQFC_pred,21,0.4994800847900439
NAQFC_pred,22,0.5087674825149004
NAQFC_pred,23,0.5140147279439901
NAQFC_pred,24,0.5106869993375177
Linear_pred,1,0.12578173936116738
Linear_pred,2,0.08951972872695042
Linear_pred,3,0.042427802430364356
Linear_pred,4,0.12261549274549174
Linear_pred,5,0.17165268149400528
Linear_pred,6,0.1428562032709106
Linear_pred,7,0.14250633788610273
Linear_pred,8,-0.007765768812299626
Linear_pred,9,-0.006409774068743448
Linear_pred,10,0.022795731790891255
Linear_pred,11,0.026108846060318568
Linear_pred,12,0.035436418295621816
Linear_pred,13,0.006078300923793502
Linear_pred,14,-0.010723143975929016
Linear_pred,15,-0.019729451801901846
Linear_pred,16,-0.008513578324492246
Linear_pred,17,0.018984550269699647
Linear_pred,18,0.02727026590105956
Linear_pred,19,0.036883938756564254
Linear_pred,20,0.06210020448909204
Linear_pred,21,0.058951332180564316
Linear_pred,22,0.08041998762634785
Linear_pred,23,0.10463868867291999
Linear_pred,24,0.13503031563151915
Sinusoidal_pred,1,0.8128602058930888
Sinusoidal_pred,2,0.6956772965576353
Sinusoidal_pred,3,0.6157535891086287
Sinusoidal_pred,4,0.5418878893319891
Sinusoidal_pred,5,0.49910850870338963
Sinusoidal_pred,6,0.44716495089012326
Sinusoidal_pred,7,0.43684821721362427
Sinusoidal_pred,8,0.4414607461610394
Sinusoidal_pred,9,0.4520513184343575
Sinusoidal_pred,10,0.47835752303498247
Sinusoidal_pred,11,0.526764528360257
Sinusoidal_pred,12,0.5206807622887177
Sinusoidal_pred,13,0.4894843898150581
Sinusoidal_pred,14,0.44145943677572747
Sinusoidal_pred,15,0.3992346340407119
Sinusoidal_pred,16,0.3685717301808238
Sinusoidal_pred,17,0.3509458422630327
Sinusoidal_pred,18,0.3422613280649575
Sinusoidal_pred,19,0.3441118352408334
Sinusoidal_pred,20,0.3467122708898877
Sinusoidal_pred,21,0.3589466358277819
Sinusoidal_pred,22,0.36931226920476745
Sinusoidal_pred,23,0.3654891318083772
Sinusoidal_pred,24,0.3837279147351459
