model,obs_bin,mean_observed,mean_abs_error,mean_residual,count
CAMS_pred,"(-0.251, 4.4]",3.06067055393586,6.723411377234744,-6.71533482744166,882
CAMS_pred,"(4.4, 6.3]",5.43214665365007,8.772444039207542,-8.706055769371616,878
CAMS_pred,"(6.3, 7.643]",7.003315898441756,10.107838610569011,-9.921865840266562,874
CAMS_pred,"(7.643, 8.953]",8.318673934266188,11.388522782196128,-11.20645636139897,878
CAMS_pred,"(8.953, 10.233]",9.60177799447424,11.799805512244863,-11.450600543732774,879
CAMS_pred,"(10.233, 11.457]",10.816660158368588,12.583424759200156,-12.145205949454846,878
CAMS_pred,"(11.457, 12.933]",12.164973122658413,11.967476558721263,-11.488553498304961,877
CAMS_pred,"(12.933, 14.743]",13.793203192640693,11.949852531819754,-11.263637529854027,880
CAMS_pred,"(14.743, 18.071]",16.255373450750163,12.044024677954345,-11.023563350717982,876
CAMS_pred,"(18.071, 151.643]",25.422816063996542,12.306797778939345,-2.842900856036838,881
GEOSCF_pred,"(-0.251, 4.4]",3.06067055393586,8.13484226792951,-8.10208684783056,882
GEOSCF_pred,"(4.4, 6.3]",5.43214665365007,14.258479376420313,-14.171806508403968,878
GEOSCF_pred,"(6.3, 7.643]",7.003315898441756,20.4008809695649,-20.321697380666098,874
GEOSCF_pred,"(7.643, 8.953]",8.318673934266188,29.42287754489292,-29.260436637428345,878
GEOSCF_pred,"(8.953, 10.233]",9.60177799447424,30.752143213739117,-30.486630416956448,879
GEOSCF_pred,"(10.233, 11.457]",10.816660158368588,33.61515492304356,-33.14344944435076,878
GEOSCF_pred,"(11.457, 12.933]",12.164973122658413,32.7961067180402,-32.14639160426716,877
GEOSCF_pred,"(12.933, 14.743]",13.793203192640693,33.03541033928432,-32.16737112071407,880
GEOSCF_pred,"(14.743, 18.071]",16.255373450750163,33.488690988100025,-32.2869934741227,876
GEOSCF_pred,"(18.071, 151.643]",25.422816063996542,43.733518518047724,-38.012175105522786,881
Linear_pred,"(-0.251, 4.4]",3.06067055393586,0.7003427458276974,0.09912192764574944,882
Linear_pred,"(4.4, 6.3]",5.43214665365007,0.9051938853528672,0.3760384833406677,878
Linear_pred,"(6.3, 7.643]",7.003315898441756,1.037247915103975,0.6364783726271142,874
Linear_pred,"(7.643, 8.953]",8.31861378074605,1.2203109990185421,0.8138139844166978,877
Linear_pred,"(8.953, 10.233]",9.60177799447424,1.3660308112901396,0.9897329660700185,879
Linear_pred,"(10.233, 11.457]",10.816660158368588,1.5542345407428688,1.1740659398442947,878
Linear_pred,"(11.457, 12.933]",12.164973122658413,1.8029735143743644,1.5160992472790251,877
Linear_pred,"(12.933, 14.743]",13.793203192640693,2.096940420286368,1.7764977238314572,880
Linear_pred,"(14.743, 18.071]",16.25631836734694,2.607558047283852,2.327975157941311,875
Linear_pred,"(18.071, 151.643]",25.33160578386606,3.93074302350737,3.5611603389530226,876
NAQFC_pred,"(-0.251, 4.4]",3.06067055393586,3.8592856084454987,-2.4045448435306462,882
NAQFC_pred,"(4.4, 6.3]",5.43214665365007,5.058600917634005,-3.7111780041493723,878
NAQFC_pred,"(6.3, 7.643]",7.003315898441756,5.571176586267546,-4.430750689527802,874
NAQFC_pred,"(7.643, 8.953]",8.318673934266188,6.787973255156155,-5.709603714537599,878
NAQFC_pred,"(8.953, 10.233]",9.60177799447424,7.400071334714614,-6.424763741057693,879
NAQFC_pred,"(10.233, 11.457]",10.816660158368588,7.828901105363349,-6.672595029761986,878
NAQFC_pred,"(11.457, 12.933]",12.164973122658413,9.191424293906952,-7.912762280450347,877
NAQFC_pred,"(12.933, 14.743]",13.793203192640693,9.362655072419674,-8.005856583643785,880
NAQFC_pred,"(14.743, 18.071]",16.255373450750163,11.515881255986665,-9.876816600121785,876
NAQFC_pred,"(18.071, 151.643]",25.422816063996542,17.428262511872386,-9.954372168784722,881
Sinusoidal_pred,"(-0.251, 4.4]",3.06067055393586,5.146976831473032,-4.857450971546968,882
Sinusoidal_pred,"(4.4, 6.3]",5.43214665365007,5.555360793901209,-5.117172005796619,878
Sinusoidal_pred,"(6.3, 7.643]",7.003315898441756,6.552458542647955,-5.7409532087430994,874
Sinusoidal_pred,"(7.643, 8.953]",8.318673934266188,8.00954447970222,-6.7649638750509045,878
Sinusoidal_pred,"(8.953, 10.233]",9.60177799447424,8.353175600859638,-7.094730365154372,879
Sinusoidal_pred,"(10.233, 11.457]",10.816660158368588,7.688740163100251,-5.992403177033138,878
Sinusoidal_pred,"(11.457, 12.933]",12.164973122658413,8.299957358092298,-6.265444753134314,877
Sinusoidal_pred,"(12.933, 14.743]",13.793203192640693,8.51769035787879,-5.392512105994542,880
Sinusoidal_pred,"(14.743, 18.071]",16.255373450750163,8.714639073923298,-4.733776600857419,876
Sinusoidal_pred,"(18.071, 151.643]",25.36252983032293,12.842960616965165,0.1718200015125413,870
